,gain
cadence,28.119945526123047
ap_jerk_rms,8.3667631149292
harmonic_ratio_ap,7.583907127380371
ap_power_3_8,7.422807693481445
ml_std,6.223321437835693
vertical_iqr,5.544308185577393
ml_rms,5.371001243591309
stride_time_mean,5.078333854675293
step_time_mean,4.489602088928223
vertical_dominant_frequency,4.182461738586426
magnitude_skew,3.956134557723999
vertical_power_3_8,3.511470079421997
vertical_skew,3.450181484222412
vertical_rms,3.415705919265747
vertical_spectral_centroid,3.283623218536377
ml_mean,3.140226364135742
ap_dominant_frequency,3.129061460494995
vertical_jerk_rms,3.082568407058716
ap_spectral_entropy,3.071715831756592
magnitude_rms,3.0413451194763184
ap_kurtosis,2.8918285369873047
magnitude_mean,2.7012522220611572
ap_range,2.6692020893096924
ap_std,2.3599252700805664
ap_mean,2.3502562046051025
ml_power_3_8,2.2693228721618652
vertical_range,2.1827239990234375
ap_spectral_centroid,2.1196084022521973
ap_rms,2.1131253242492676
magnitude_kurtosis,2.0332374572753906
vertical_mean,2.0313429832458496
sample_entropy_vertical,2.0105559825897217
magnitude_range,1.9630610942840576
magnitude_spectral_centroid,1.9489045143127441
ap_iqr,1.899605631828308
step_time_std,1.8981136083602905
step_regularity,1.7991418838500977
vertical_spectral_entropy,1.798566222190857
magnitude_iqr,1.7780486345291138
ml_skew,1.6848957538604736
ml_spectral_centroid,1.5546038150787354
ml_power_0.5_3,1.5228095054626465
vertical_power_0.5_3,1.4891575574874878
ap_power_0.5_3,1.467577338218689
ml_iqr,1.3463468551635742
harmonic_ratio_ml,1.2896722555160522
stride_time_std,1.2758185863494873
magnitude_power_0.5_3,1.2594656944274902
ml_range,1.1781216859817505
magnitude_std,1.1653281450271606
vertical_kurtosis,1.1359248161315918
ml_jerk_rms,1.1321524381637573
magnitude_power_3_8,1.115913987159729
ap_skew,1.0727378129959106
stride_regularity,1.0266759395599365
ml_spectral_entropy,0.9357687830924988
ml_dominant_frequency,0.7689362168312073
harmonic_ratio_vertical,0.7566155195236206
ml_kurtosis,0.734485387802124
vertical_std,0.721207320690155
magnitude_jerk_rms,0.6891305446624756
step_time_cv,0.517824113368988
stride_time_asymmetry_index,0.5052882432937622
stride_time_cv,0.46520987153053284
magnitude_spectral_entropy,0.40083417296409607
magnitude_dominant_frequency,0.3844371736049652
