,mean_abs_shap
vertical_mean,0.46152452
vertical_power_3_8,0.4300871
ml_mean,0.41911602
ml_rms,0.38735276
ap_mean,0.36370203
magnitude_mean,0.34397367
harmonic_ratio_ml,0.2545802
magnitude_rms,0.23009877
vertical_skew,0.22066233
step_time_mean,0.21361382
ml_power_0.5_3,0.20541985
ap_power_3_8,0.20247908
ml_range,0.20165655
ap_spectral_centroid,0.1838295
ap_power_0.5_3,0.17780264
ml_power_3_8,0.176271
cadence,0.16388851
stride_time_mean,0.16236119
ap_rms,0.15911266
ap_dominant_frequency,0.15374269
magnitude_skew,0.15256675
magnitude_range,0.13772352
ap_skew,0.12868378
harmonic_ratio_ap,0.11999259
ml_skew,0.11677275
step_regularity,0.11148754
magnitude_jerk_rms,0.106897384
ml_kurtosis,0.104774036
stride_regularity,0.10310463
ml_iqr,0.09901889
vertical_jerk_rms,0.09752701
vertical_spectral_centroid,0.09263067
vertical_range,0.08074578
vertical_rms,0.07720728
ap_range,0.07516176
sample_entropy_vertical,0.07374035
ml_spectral_entropy,0.06978382
ml_std,0.0688959
ap_iqr,0.06498492
ml_dominant_frequency,0.06354736
magnitude_power_3_8,0.06326476
ap_spectral_entropy,0.059554256
ml_jerk_rms,0.055840675
vertical_std,0.053276483
vertical_power_0.5_3,0.05064429
vertical_dominant_frequency,0.047960844
harmonic_ratio_vertical,0.04790311
magnitude_power_0.5_3,0.04686827
magnitude_spectral_centroid,0.04545077
vertical_kurtosis,0.04239889
ap_jerk_rms,0.042394668
ml_spectral_centroid,0.034589775
vertical_spectral_entropy,0.033805296
ap_kurtosis,0.032469288
magnitude_std,0.031709906
magnitude_iqr,0.03155554
ap_std,0.029718312
magnitude_kurtosis,0.027138744
stride_time_asymmetry_index,0.023366483
magnitude_spectral_entropy,0.02312673
stride_time_std,0.019351183
stride_time_cv,0.015468998
vertical_iqr,0.013831409
step_time_cv,0.011282532
step_time_std,0.011241035
magnitude_dominant_frequency,0.0056033274
